conceptidprognosyrke;fa15nr;bedömning23;bedömning26;yrkesverksamma_antal;andel_kvinnor;andel_män;special;tillträde;pension;efterfråga;pil_2022_tilltr;pil_2026_tilltr;pil_2022_pension;pil_2026_pension;pil_2022_efterfråga;pil_2026_efterfråga;index;svårare_fa15nr;lättare_fa15nr;;;
5P83_U4c_PyQ;55;;;;;;;;;;1,02;1,01;0,77;1,28;1,05;1,09;1;;;;;
5P83_U4c_PyQ;56;;;;;;;;;;1,18;1,21;0,01;2,00;0,95;1,09;0;;;;;
5P83_U4c_PyQ;57;;;;;;;;;;1,11;1,13;;;;;0;;;;;
5P83_U4c_PyQ;58;;;;;;;;;;0,99;0,99;0,00;;0,66;1,09;0;;;;;
5P83_U4c_PyQ;59;;;;;;;;;;0,99;0,99;0,57;0,77;1,00;1,09;0;;;;;
5P83_U4c_PyQ;60;;;;;;;;;;0,98;0,99;0,23;2,00;0,97;1,09;0;;;;;
5wtR_Ebt_jjM;0;1;1;5067;48;52;;3;3;3;1,00;1,02;1,00;0,94;1,02;1,01;;;;;;
5wtR_Ebt_jjM;1;;;;;;;;;;1,03;1,04;1,01;1,05;1,09;1,01;;;;;;
5wtR_Ebt_jjM;2;;;;;;;;;;1,01;1,02;0,59;0,94;1,18;1,01;;;;;;
5wtR_Ebt_jjM;3;;;;;;;;;;0,99;1,01;0,61;0,56;1,04;1,01;;;;;;
5wtR_Ebt_jjM;4;;;;;;;;;;1,04;1,07;0,07;0,00;1,18;1,01;;;;;;
5wtR_Ebt_jjM;5;;;;;;;;;;1,01;1,04;;;;;;;;;;
5wtR_Ebt_jjM;6;;;;;;;;;;1,03;1,04;0,58;0,92;1,05;1,01;;;;;;
5wtR_Ebt_jjM;7;;;;;;;;;;1,01;1,02;0,30;1,57;0,99;1,01;;;;;;
5wtR_Ebt_jjM;8;;;;;;;;;;1,05;1,05;0,17;0,59;0,99;1,01;;;;;;
5wtR_Ebt_jjM;9;;;;;;;;;;1,02;1,03;0,47;0,74;0,99;1,01;;;;;;
5wtR_Ebt_jjM;10;;;;;;;;;;0,97;1,00;;;;;;;;;;
5wtR_Ebt_jjM;11;;;;;;;;;;1,09;1,07;;;;;;;;;;
5wtR_Ebt_jjM;12;;;;;;;;;;1,00;1,00;;;;;;;;;;
5wtR_Ebt_jjM;13;;;;;;;;;;1,02;1,04;0,63;1,06;1,01;1,01;;;;;;
5wtR_Ebt_jjM;14;;;;;;;;;;1,03;1,02;0,55;0,69;1,04;1,01;;;;;;
5wtR_Ebt_jjM;15;;;;;;;;;;1,01;1,02;0,90;1,09;1,00;1,01;;;;;;
5wtR_Ebt_jjM;16;;;;;;;;;;1,00;0,99;0,49;1,09;1,02;1,01;;;;;;
5wtR_Ebt_jjM;17;;;;;;;;;;1,04;1,05;0,06;0,31;1,28;1,01;;;;;;
5wtR_Ebt_jjM;18;;;;;;;;;;1,02;1,01;0,61;0,86;1,06;1,01;;;;;;
5wtR_Ebt_jjM;19;;;;;;;;;;1,03;1,02;0,84;0,87;1,07;1,01;;;;;;
5wtR_Ebt_jjM;20;;;;;;;;;;1,02;1,04;;;;;;;;;;
5wtR_Ebt_jjM;21;;;;;;;;;;1,01;1,02;0,21;0,00;1,25;1,01;;;;;;
5wtR_Ebt_jjM;22;;;;;;;;;;1,01;1,02;0,26;2,00;0,98;1,01;;;;;;
5wtR_Ebt_jjM;23;;;;;;;;;;1,02;1,03;1,00;0,93;1,00;1,01;;;;;;
5wtR_Ebt_jjM;24;;;;;;;;;;1,04;1,03;0,70;1,08;1,04;1,01;;;;;;
5wtR_Ebt_jjM;25;;;;;;;;;;1,03;1,03;0,80;0,77;0,98;1,01;;;;;;
5wtR_Ebt_jjM;26;;;;;;;;;;1,01;1,02;0,00;;1,33;1,01;;;;;;
5wtR_Ebt_jjM;27;;;;;;;;;;1,02;1,01;0,57;0,98;1,06;1,01;;;;;;
5wtR_Ebt_jjM;28;;;;;;;;;;0,98;0,99;0,00;;0,00;;;;;;;
5wtR_Ebt_jjM;29;;;;;;;;;;1,03;1,02;;;;;;;;;;
5wtR_Ebt_jjM;30;;;;;;;;;;1,05;1,08;;;;;;;;;;
5wtR_Ebt_jjM;31;;;;;;;;;;1,04;1,09;0,00;;0,00;;;;;;;
5wtR_Ebt_jjM;32;;;;;;;;;;1,02;1,02;0,14;1,54;1,08;1,01;;;;;;
5wtR_Ebt_jjM;33;;;;;;;;;;1,04;1,03;0,21;0,75;0,94;1,01;;;;;;
5wtR_Ebt_jjM;34;;;;;;;;;;1,04;1,03;0,98;1,14;1,04;1,01;;;;;;
5wtR_Ebt_jjM;35;;;;;;;;;;1,06;1,05;;;;;;;;;;
5wtR_Ebt_jjM;36;;;;;;;;;;1,03;1,02;0,93;1,02;1,29;1,01;;;;;;
5wtR_Ebt_jjM;37;;;;;;;;;;1,03;1,01;0,16;0,10;1,07;1,01;;;;;;
5wtR_Ebt_jjM;38;;;;;;;;;;1,02;1,02;0,00;;0,98;1,01;;;;;;
5wtR_Ebt_jjM;39;;;;;;;;;;1,02;1,04;0,00;;1,89;1,01;;;;;;
5wtR_Ebt_jjM;40;;;;;;;;;;1,03;1,05;;;;;;;;;;
5wtR_Ebt_jjM;41;;;;;;;;;;1,00;1,01;0,63;0,55;1,05;1,01;;;;;;
5wtR_Ebt_jjM;42;;;;;;;;;;1,01;1,01;0,83;0,92;1,03;1,01;;;;;;
5wtR_Ebt_jjM;43;;;;;;;;;;1,01;1,01;;;;;;;;;;
5wtR_Ebt_jjM;44;;;;;;;;;;1,01;1,04;0,00;;0,85;1,01;;;;;;
5wtR_Ebt_jjM;45;;;;;;;;;;1,01;1,03;0,00;;0,00;;;;;;;
5wtR_Ebt_jjM;46;;;;;;;;;;0,98;1,01;;;;;;;;;;
5wtR_Ebt_jjM;47;;;;;;;;;;1,14;1,18;;;;;;;;;;
5wtR_Ebt_jjM;48;;;;;;;;;;1,04;1,02;0,60;1,25;2,00;1,01;;;;;;
5wtR_Ebt_jjM;49;;;;;;;;;;1,03;1,06;;;;;;;;;;
5wtR_Ebt_jjM;50;;;;;;;;;;1,08;1,09;;;;;;;;;;
5wtR_Ebt_jjM;51;;;;;;;;;;1,10;1,10;;;;;;;;;;
5wtR_Ebt_jjM;52;;;;;;;;;;1,01;1,02;0,00;;1,00;1,01;;;;;;
5wtR_Ebt_jjM;53;;;;;;;;;;1,04;1,05;;;;;;;;;;
5wtR_Ebt_jjM;54;;;;;;;;;;1,10;1,08;0,00;;1,21;1,01;;;;;;
5wtR_Ebt_jjM;55;;;;;;;;;;1,03;1,00;0,79;0,83;1,04;1,01;;;;;;
5wtR_Ebt_jjM;56;;;;;;;;;;1,06;1,09;0,00;;1,14;1,01;;;;;;
5wtR_Ebt_jjM;57;;;;;;;;;;1,16;1,16;;;;;;;;;;
5wtR_Ebt_jjM;58;;;;;;;;;;0,99;0,99;;;;;;;;;;
5wtR_Ebt_jjM;59;;;;;;;;;;1,00;0,99;0,00;;0,00;;;;;;;
5wtR_Ebt_jjM;60;;;;;;;;;;1,00;1,01;;;;;;;;;;
6Yud_68H_9BQ;0;2;1;3685;31;69;1;3;3;3;1,03;1,03;0,94;0,96;1,00;0,99;;;;;;
6Yud_68H_9BQ;1;;;;;;;;;;1,01;1,01;0,91;1,04;1,00;0,99;;;;;;
6Yud_68H_9BQ;2;;;;;;;;;;1,05;1,04;0,26;1,81;1,05;0,99;;;;;;
6Yud_68H_9BQ;3;;;;;;;;;;1,05;1,02;0,34;1,64;1,08;0,99;;;;;;
6Yud_68H_9BQ;4;;;;;;;;;;1,04;1,05;0,49;0,01;0,95;0,99;;;;;;
6Yud_68H_9BQ;5;;;;;;;;;;1,02;1,05;0,12;2,00;1,03;0,99;;;;;;
6Yud_68H_9BQ;6;;;;;;;;;;1,06;1,05;0,43;1,06;1,04;0,99;;;;;;
6Yud_68H_9BQ;7;;;;;;;;;;1,03;1,04;0,04;2,00;0,98;0,99;;;;;;
6Yud_68H_9BQ;8;;;;;;;;;;1,07;1,06;0,29;1,75;1,06;0,99;;;;;;
6Yud_68H_9BQ;9;;;;;;;;;;1,06;1,06;0,44;1,73;1,07;0,99;;;;;;
6Yud_68H_9BQ;10;;;;;;;;;;0,99;1,01;0,28;1,63;1,06;0,99;;;;;;
6Yud_68H_9BQ;11;;;;;;;;;;1,03;1,05;0,35;0,89;0,93;0,99;;;;;;
6Yud_68H_9BQ;12;;;;;;;;;;0,98;0,99;0,00;;0,95;0,99;;;;;;
6Yud_68H_9BQ;13;;;;;;;;;;1,09;1,08;0,58;1,14;0,98;0,99;;;;;;
6Yud_68H_9BQ;14;;;;;;;;;;1,03;1,04;0,76;0,91;0,98;0,99;;;;;;
6Yud_68H_9BQ;15;;;;;;;;;;1,04;1,03;0,88;0,95;1,02;0,99;;;;;;
6Yud_68H_9BQ;16;;;;;;;;;;1,06;1,06;0,79;0,96;1,01;0,99;;;;;;
6Yud_68H_9BQ;17;;;;;;;;;;1,04;1,04;0,45;1,10;0,96;0,99;;;;;;
6Yud_68H_9BQ;18;;;;;;;;;;1,04;1,03;0,32;1,35;0,94;0,99;;;;;;
6Yud_68H_9BQ;19;;;;;;;;;;1,05;1,04;0,56;1,32;1,01;0,99;;;;;;
6Yud_68H_9BQ;20;;;;;;;;;;1,12;1,12;0,41;0,77;1,03;0,99;;;;;;
6Yud_68H_9BQ;21;;;;;;;;;;1,10;1,09;0,03;2,00;0,95;0,99;;;;;;
6Yud_68H_9BQ;22;;;;;;;;;;1,06;1,05;0,32;1,03;1,02;0,99;;;;;;
6Yud_68H_9BQ;23;;;;;;;;;;1,05;1,04;0,84;0,93;1,02;0,99;;;;;;
6Yud_68H_9BQ;24;;;;;;;;;;1,04;1,04;0,62;1,32;0,98;0,99;;;;;;
6Yud_68H_9BQ;25;;;;;;;;;;1,07;1,07;0,64;1,14;0,97;0,99;;;;;;
6Yud_68H_9BQ;26;;;;;;;;;;1,07;1,08;0,26;0,63;1,04;0,99;;;;;;
6Yud_68H_9BQ;27;;;;;;;;;;1,01;1,02;0,54;1,99;0,97;0,99;;;;;;
6Yud_68H_9BQ;28;;;;;;;;;;1,03;1,02;0,44;0,59;1,04;0,99;;;;;;
6Yud_68H_9BQ;29;;;;;;;;;;1,02;1,02;0,00;;1,28;0,99;;;;;;
6Yud_68H_9BQ;30;;;;;;;;;;1,08;1,06;0,00;;0,77;0,99;;;;;;
6Yud_68H_9BQ;31;;;;;;;;;;1,06;1,07;0,33;0,00;0,96;0,99;;;;;;
6Yud_68H_9BQ;32;;;;;;;;;;0,99;1,01;0,50;0,78;1,02;0,99;;;;;;
6Yud_68H_9BQ;33;;;;;;;;;;1,03;1,03;0,01;2,00;0,91;0,99;;;;;;
6Yud_68H_9BQ;34;;;;;;;;;;1,06;1,04;0,52;1,49;0,99;0,99;;;;;;
6Yud_68H_9BQ;35;;;;;;;;;;1,08;1,10;0,06;1,66;0,97;0,99;;;;;;
6Yud_68H_9BQ;36;;;;;;;;;;1,08;1,04;0,51;1,86;0,98;0,99;;;;;;
6Yud_68H_9BQ;37;;;;;;;;;;1,02;1,01;0,19;2,00;0,95;0,99;;;;;;
6Yud_68H_9BQ;38;;;;;;;;;;1,04;1,03;0,21;1,19;0,93;0,99;;;;;;
6Yud_68H_9BQ;39;;;;;;;;;;1,03;1,09;0,09;2,00;1,29;0,99;;;;;;
6Yud_68H_9BQ;40;;;;;;;;;;1,11;1,14;0,02;2,00;0,98;0,99;;;;;;
6Yud_68H_9BQ;41;;;;;;;;;;1,04;1,04;0,32;1,80;0,96;0,99;;;;;;
6Yud_68H_9BQ;42;;;;;;;;;;1,05;1,04;0,59;0,91;0,98;0,99;;;;;;
6Yud_68H_9BQ;43;;;;;;;;;;1,06;1,07;0,00;;0,97;0,99;;;;;;
6Yud_68H_9BQ;44;;;;;;;;;;1,02;1,05;0,17;1,83;0,96;0,99;;;;;;
6Yud_68H_9BQ;45;;;;;;;;;;0,98;0,98;0,03;0,00;0,99;0,99;;;;;;
6Yud_68H_9BQ;46;;;;;;;;;;1,07;1,09;0,13;0,00;1,30;0,99;;;;;;
6Yud_68H_9BQ;47;;;;;;;;;;1,39;1,37;0,33;0,00;0,86;0,99;;;;;;
6Yud_68H_9BQ;48;;;;;;;;;;1,05;1,03;0,43;1,32;1,00;0,99;;;;;;
6Yud_68H_9BQ;49;;;;;;;;;;1,10;1,11;0,05;2,00;0,91;0,99;;;;;;
6Yud_68H_9BQ;50;;;;;;;;;;0,96;1,02;0,00;;2,00;0,99;;;;;;
6Yud_68H_9BQ;51;;;;;;;;;;1,03;1,07;0,02;2,00;0,93;0,99;;;;;;
6Yud_68H_9BQ;52;;;;;;;;;;1,04;1,04;0,10;1,43;0,98;0,99;;;;;;
6Yud_68H_9BQ;53;;;;;;;;;;1,08;1,11;0,00;;1,18;0,99;;;;;;
6Yud_68H_9BQ;54;;;;;;;;;;1,09;1,11;0,05;2,00;1,02;0,99;;;;;;
6Yud_68H_9BQ;55;;;;;;;;;;1,04;1,00;0,54;1,80;0,96;0,99;;;;;;
6Yud_68H_9BQ;56;;;;;;;;;;1,07;1,12;0,00;;0,77;0,99;;;;;;
6Yud_68H_9BQ;57;;;;;;;;;;1,18;1,15;;;;;;;;;;
6Yud_68H_9BQ;58;;;;;;;;;;1,15;1,12;0,00;;0,82;0,99;;;;;;
6Yud_68H_9BQ;59;;;;;;;;;;1,08;1,07;0,01;1,78;1,04;0,99;;;;;;
6Yud_68H_9BQ;60;;;;;;;;;;0,98;1,00;0,49;0,88;1,00;0,99;;;;;;
77yo_xQ5_1ML;0;2;2;7927;76;24;1;3;3;3;1,07;1,06;1,01;0,98;0,95;1,07;;;;;;
77yo_xQ5_1ML;1;;;;;;;;;;1,08;1,06;0,96;0,96;0,96;1,07;4;;;;;
77yo_xQ5_1ML;2;;;;;;;;;;1,05;1,03;0,64;1,54;0,96;1,07;4;;;;;
77yo_xQ5_1ML;3;;;;;;;;;;1,05;1,04;0,74;2,00;0,93;1,07;0;;;;;
77yo_xQ5_1ML;4;;;;;;;;;;1,11;1,09;0,24;2,00;2,00;1,07;0;;;;;
77yo_xQ5_1ML;5;;;;;;;;;;1,10;1,10;0,36;1,57;1,06;1,07;0;;;;;
77yo_xQ5_1ML;6;;;;;;;;;;1,07;1,06;0,96;1,10;0,95;1,07;0;;;;;
77yo_xQ5_1ML;7;;;;;;;;;;1,06;1,09;0,14;2,00;0,93;1,07;0;;;;;
77yo_xQ5_1ML;8;;;;;;;;;;1,08;1,08;0,83;0,94;0,93;1,07;5;;;;;
77yo_xQ5_1ML;9;;;;;;;;;;1,09;1,08;0,84;1,12;0,95;1,07;3;8;13;;;
77yo_xQ5_1ML;10;;;;;;;;;;1,06;1,07;0,03;0,81;0,85;1,07;0;;;;;
77yo_xQ5_1ML;11;;;;;;;;;;1,13;1,14;0,01;2,00;1,00;1,07;0;;;;;
77yo_xQ5_1ML;12;;;;;;;;;;1,03;1,05;0,14;2,00;0,93;1,07;0;;;;;
77yo_xQ5_1ML;13;;;;;;;;;;1,10;1,09;0,58;1,16;0,94;1,07;3;8;19;;;
77yo_xQ5_1ML;14;;;;;;;;;;1,08;1,06;0,48;2,00;0,95;1,07;5;;;;;
77yo_xQ5_1ML;15;;;;;;;;;;1,08;1,06;0,91;0,86;0,95;1,07;2;;;;;
77yo_xQ5_1ML;16;;;;;;;;;;1,07;1,06;0,66;1,03;0,96;1,07;2;;;;;
77yo_xQ5_1ML;17;;;;;;;;;;1,07;1,07;0,65;0,60;0,95;1,07;0;;;;;
77yo_xQ5_1ML;18;;;;;;;;;;1,11;1,09;0,32;2,00;0,94;1,07;0;;;;;
77yo_xQ5_1ML;19;;;;;;;;;;1,04;1,04;1,19;1,17;0,94;1,07;1;;;;;
77yo_xQ5_1ML;20;;;;;;;;;;1,05;1,06;0,50;1,71;0,97;1,07;0;;;;;
77yo_xQ5_1ML;21;;;;;;;;;;1,06;1,07;0,96;0,61;0,95;1,07;0;;;;;
77yo_xQ5_1ML;22;;;;;;;;;;1,05;1,05;0,37;1,57;0,94;1,07;0;;;;;
77yo_xQ5_1ML;23;;;;;;;;;;1,07;1,06;1,02;0,98;0,94;1,07;3;36;24;;;
77yo_xQ5_1ML;24;;;;;;;;;;1,10;1,08;0,91;0,94;0,96;1,07;1;;;;;
77yo_xQ5_1ML;25;;;;;;;;;;1,08;1,07;0,62;1,34;0,93;1,07;1;;;;;
77yo_xQ5_1ML;26;;;;;;;;;;1,10;1,11;0,00;2,00;1,04;1,07;0;;;;;
77yo_xQ5_1ML;27;;;;;;;;;;1,07;1,06;0,67;0,93;0,93;1,07;2;;;;;
77yo_xQ5_1ML;28;;;;;;;;;;1,12;1,07;0,39;0,92;0,92;1,07;0;;;;;
77yo_xQ5_1ML;29;;;;;;;;;;1,01;1,03;0,19;1,22;0,86;1,07;0;;;;;
77yo_xQ5_1ML;30;;;;;;;;;;1,12;1,19;0,15;1,45;1,09;1,07;0;;;;;
77yo_xQ5_1ML;31;;;;;;;;;;1,41;1,38;;;1,14;1,07;0;;;;;
77yo_xQ5_1ML;32;;;;;;;;;;1,05;1,09;0,31;1,12;0,99;1,07;0;;;;;
77yo_xQ5_1ML;33;;;;;;;;;;1,15;1,13;0,37;2,00;0,95;1,07;0;;;;;
77yo_xQ5_1ML;34;;;;;;;;;;1,08;1,07;0,77;0,97;0,98;1,07;2;;;;;
77yo_xQ5_1ML;35;;;;;;;;;;1,15;1,16;0,03;2,00;0,99;1,07;0;;;;;
77yo_xQ5_1ML;36;;;;;;;;;;1,07;1,07;0,98;0,93;0,95;1,07;4;;;;;
77yo_xQ5_1ML;37;;;;;;;;;;1,04;1,03;0,66;1,59;0,93;1,07;0;;;;;
77yo_xQ5_1ML;38;;;;;;;;;;1,19;1,18;0,25;0,98;0,93;1,07;0;;;;;
77yo_xQ5_1ML;39;;;;;;;;;;1,02;1,10;0,42;0,00;0,90;1,07;0;;;;;
77yo_xQ5_1ML;40;;;;;;;;;;1,25;1,26;0,01;1,38;0,91;1,07;0;;;;;
77yo_xQ5_1ML;41;;;;;;;;;;1,09;1,06;0,95;0,80;0,96;1,07;0;;;;;
77yo_xQ5_1ML;42;;;;;;;;;;1,09;1,07;0,87;1,00;0,92;1,07;5;;;;;
77yo_xQ5_1ML;43;;;;;;;;;;1,15;1,12;0,52;0,15;0,90;1,07;0;;;;;
77yo_xQ5_1ML;44;;;;;;;;;;1,09;1,09;0,12;2,00;0,96;1,07;0;;;;;
77yo_xQ5_1ML;45;;;;;;;;;;1,08;1,06;0,11;2,00;1,01;1,07;0;;;;;
77yo_xQ5_1ML;46;;;;;;;;;;1,13;1,22;0,27;0,00;0,90;1,07;0;;;;;
77yo_xQ5_1ML;47;;;;;;;;;;1,19;1,15;0,00;;1,04;1,07;0;;;;;
77yo_xQ5_1ML;48;;;;;;;;;;1,04;1,03;0,78;0,91;0,95;1,07;1;;;;;
77yo_xQ5_1ML;49;;;;;;;;;;1,17;1,17;0,00;2,00;1,02;1,07;0;;;;;
77yo_xQ5_1ML;50;;;;;;;;;;1,22;1,24;0,02;2,00;1,11;1,07;0;;;;;
77yo_xQ5_1ML;51;;;;;;;;;;1,13;1,16;0,01;1,00;1,11;1,07;0;;;;;
77yo_xQ5_1ML;52;;;;;;;;;;1,07;1,06;0,48;1,62;0,94;1,07;0;;;;;
77yo_xQ5_1ML;53;;;;;;;;;;1,31;1,26;0,00;;0,96;1,07;0;;;;;
77yo_xQ5_1ML;54;;;;;;;;;;1,35;1,36;0,08;0,75;1,32;1,07;0;;;;;
77yo_xQ5_1ML;55;;;;;;;;;;1,09;1,06;0,93;1,27;0,93;1,07;4;;;;;
77yo_xQ5_1ML;56;;;;;;;;;;1,31;1,28;0,16;1,00;0,93;1,07;0;;;;;
77yo_xQ5_1ML;57;;;;;;;;;;1,52;1,52;;;2,00;1,07;0;;;;;
77yo_xQ5_1ML;58;;;;;;;;;;1,03;1,00;0,03;2,00;1,02;1,07;0;;;;;
77yo_xQ5_1ML;59;;;;;;;;;;1,09;1,13;0,33;1,51;1,11;1,07;0;;;;;
77yo_xQ5_1ML;60;;;;;;;;;;1,10;1,10;0,35;0,92;0,94;1,07;0;;;;;
7fRX_dK8_Wzy;0;2;2;3022;1;99;2;3;3;3;1,01;1,01;1,12;1,22;1,06;1,08;;;;;;
7fRX_dK8_Wzy;1;;;;;;;;;;1,03;1,03;0,67;1,55;1,01;1,08;;;;;;
7fRX_dK8_Wzy;2;;;;;;;;;;1,01;1,01;0,86;0,91;1,02;1,08;;;;;;
7fRX_dK8_Wzy;3;;;;;;;;;;0,99;0,99;0,11;1,07;1,03;1,08;;;;;;
7fRX_dK8_Wzy;4;;;;;;;;;;1,05;1,05;;;;;;;;;;
7fRX_dK8_Wzy;5;;;;;;;;;;1,02;1,04;;;;;;;;;;
7fRX_dK8_Wzy;6;;;;;;;;;;1,03;1,04;0,15;0,43;1,63;1,08;;;;;;
7fRX_dK8_Wzy;7;;;;;;;;;;1,03;1,02;;;;;;;;;;
7fRX_dK8_Wzy;8;;;;;;;;;;1,03;1,04;0,00;;2,00;1,08;;;;;;
7fRX_dK8_Wzy;9;;;;;;;;;;1,03;1,04;0,06;1,47;0,98;1,08;;;;;;
7fRX_dK8_Wzy;10;;;;;;;;;;1,00;1,00;0,47;1,07;0,92;1,08;;;;;;
7fRX_dK8_Wzy;11;;;;;;;;;;1,08;1,10;0,37;0,81;0,92;1,08;;;;;;
7fRX_dK8_Wzy;12;;;;;;;;;;1,01;1,00;;;;;;;;;;
7fRX_dK8_Wzy;13;;;;;;;;;;1,01;1,02;0,10;1,88;1,11;1,08;;;;;;
7fRX_dK8_Wzy;14;;;;;;;;;;1,02;1,02;0,43;0,65;1,07;1,08;;;;;;
7fRX_dK8_Wzy;15;;;;;;;;;;1,01;1,01;0,85;1,37;1,05;1,08;;;;;;
7fRX_dK8_Wzy;16;;;;;;;;;;1,00;0,99;0,75;1,41;1,11;1,08;;;;;;
7fRX_dK8_Wzy;17;;;;;;;;;;1,03;1,04;0,00;;1,39;1,08;;;;;;
7fRX_dK8_Wzy;18;;;;;;;;;;1,02;1,02;0,28;0,59;1,23;1,08;;;;;;
7fRX_dK8_Wzy;19;;;;;;;;;;1,02;1,02;0,96;1,13;1,02;1,08;;;;;;
7fRX_dK8_Wzy;20;;;;;;;;;;1,04;1,06;0,22;1,33;1,29;1,08;;;;;;
7fRX_dK8_Wzy;21;;;;;;;;;;1,01;1,02;0,29;1,52;1,31;1,08;;;;;;
7fRX_dK8_Wzy;22;;;;;;;;;;1,03;1,03;0,30;0,97;1,03;1,08;;;;;;
7fRX_dK8_Wzy;23;;;;;;;;;;1,02;1,02;1,14;1,32;1,08;1,08;;;;;;
7fRX_dK8_Wzy;24;;;;;;;;;;1,02;1,02;0,81;0,64;0,97;1,08;;;;;;
7fRX_dK8_Wzy;25;;;;;;;;;;1,03;1,04;0,47;1,16;0,96;1,08;;;;;;
7fRX_dK8_Wzy;26;;;;;;;;;;0,98;0,99;0,13;1,44;1,03;1,08;;;;;;
7fRX_dK8_Wzy;27;;;;;;;;;;1,01;1,01;0,79;0,93;1,14;1,08;;;;;;
7fRX_dK8_Wzy;28;;;;;;;;;;1,00;0,99;0,33;0,00;1,17;1,08;;;;;;
7fRX_dK8_Wzy;29;;;;;;;;;;1,02;1,01;0,00;;1,08;1,08;;;;;;
7fRX_dK8_Wzy;30;;;;;;;;;;1,07;1,09;;;;;;;;;;
7fRX_dK8_Wzy;31;;;;;;;;;;1,01;1,05;;;;;;;;;;
7fRX_dK8_Wzy;32;;;;;;;;;;0,99;0,99;0,00;;1,13;1,08;;;;;;
7fRX_dK8_Wzy;33;;;;;;;;;;1,01;1,01;0,79;0,65;1,30;1,08;;;;;;
7fRX_dK8_Wzy;34;;;;;;;;;;1,03;1,02;0,38;2,00;1,07;1,08;;;;;;
7fRX_dK8_Wzy;35;;;;;;;;;;1,02;1,02;;;1,06;1,08;;;;;;
7fRX_dK8_Wzy;36;;;;;;;;;;1,00;1,00;0,37;1,30;0,98;1,08;;;;;;
7fRX_dK8_Wzy;37;;;;;;;;;;1,00;0,98;0,35;0,52;1,08;1,08;;;;;;
7fRX_dK8_Wzy;38;;;;;;;;;;0,98;0,98;0,50;0,93;1,06;1,08;;;;;;
7fRX_dK8_Wzy;39;;;;;;;;;;1,00;1,02;0,20;0,00;1,01;1,08;;;;;;
7fRX_dK8_Wzy;40;;;;;;;;;;1,00;1,02;0,00;;1,05;1,08;;;;;;
7fRX_dK8_Wzy;41;;;;;;;;;;0,99;1,00;0,23;0,80;1,08;1,08;;;;;;
7fRX_dK8_Wzy;42;;;;;;;;;;1,02;1,02;0,59;1,53;1,13;1,08;;;;;;
7fRX_dK8_Wzy;43;;;;;;;;;;1,03;1,02;0,24;1,59;1,19;1,08;;;;;;
7fRX_dK8_Wzy;44;;;;;;;;;;1,02;1,02;0,64;0,95;1,18;1,08;;;;;;
7fRX_dK8_Wzy;45;;;;;;;;;;0,97;0,98;0,10;0,00;1,09;1,08;;;;;;
7fRX_dK8_Wzy;46;;;;;;;;;;0,97;0,97;0,00;;1,28;1,08;;;;;;
7fRX_dK8_Wzy;47;;;;;;;;;;1,16;1,19;;;;;;;;;;
7fRX_dK8_Wzy;48;;;;;;;;;;1,00;1,01;0,79;0,77;1,08;1,08;;;;;;
7fRX_dK8_Wzy;49;;;;;;;;;;1,04;1,04;;;;;;;;;;
7fRX_dK8_Wzy;50;;;;;;;;;;1,05;1,08;;;;;;;;;;
7fRX_dK8_Wzy;51;;;;;;;;;;1,12;1,13;;;;;;;;;;
7fRX_dK8_Wzy;52;;;;;;;;;;1,01;1,01;0,47;0,84;1,03;1,08;;;;;;
7fRX_dK8_Wzy;53;;;;;;;;;;0,99;1,00;0,00;;1,21;1,08;;;;;;
7fRX_dK8_Wzy;54;;;;;;;;;;1,04;1,06;;;;;;;;;;
7fRX_dK8_Wzy;55;;;;;;;;;;1,00;1,00;0,53;1,31;2,00;1,08;;;;;;
7fRX_dK8_Wzy;56;;;;;;;;;;1,06;1,09;0,00;;1,06;1,08;;;;;;
7fRX_dK8_Wzy;57;;;;;;;;;;1,08;1,11;;;1,06;1,08;;;;;;
7fRX_dK8_Wzy;58;;;;;;;;;;0,98;1,00;;;;;;;;;;
7fRX_dK8_Wzy;59;;;;;;;;;;0,99;0,99;;;;;;;;;;
7fRX_dK8_Wzy;60;;;;;;;;;;0,99;0,99;0,03;0,63;1,38;1,08;;;;;;
7uaQ_G64_QWN;0;3;3;8666;93;7;4;3;3;3;1,18;1,16;1,06;1,02;1,02;1,03;;;;;;
7uaQ_G64_QWN;1;;;;;;;;;;1,18;1,14;1,01;0,91;1,03;1,04;4;;;;;
7uaQ_G64_QWN;2;;;;;;;;;;1,15;1,10;0,84;1,30;1,01;1,01;2;;;;;
7uaQ_G64_QWN;3;;;;;;;;;;1,14;1,09;0,75;1,28;1,01;1,01;5;;;;;
7uaQ_G64_QWN;4;;;;;;;;;;1,17;1,19;0,30;0,34;1,02;1,02;0;;;;;
7uaQ_G64_QWN;5;;;;;;;;;;1,12;1,10;0,20;2,00;1,03;1,04;0;;;;;
7uaQ_G64_QWN;6;;;;;;;;;;1,21;1,14;0,66;0,97;1,03;1,04;4;;;;;
7uaQ_G64_QWN;7;;;;;;;;;;1,23;1,16;0,24;1,66;1,01;1,01;0;;;;;
7uaQ_G64_QWN;8;;;;;;;;;;1,23;1,18;1,16;0,79;1,03;1,04;4;;;;;
7uaQ_G64_QWN;9;;;;;;;;;;1,20;1,15;0,84;0,93;1,03;1,03;5;;;;;
7uaQ_G64_QWN;10;;;;;;;;;;1,06;1,03;0,07;0,90;1,00;1,00;0;;;;;
