ar;antalEFT;antalPEN;antalTILL;antalEFTprognos;antalTILLprognos;antalPENprognos;conceptidprognosyrke
2015;1,00;1,00;1,00;;;;1JfT_7TR_tqA
2016;1,21;1,13;1,04;;;;1JfT_7TR_tqA
2017;1,25;1,23;1,07;;;;1JfT_7TR_tqA
2018;1,28;1,08;1,11;;;1,08;1JfT_7TR_tqA
2019;1,31;;1,13;1,31;1,13;0,96;1JfT_7TR_tqA
2020;;;;;1,19;0,77;1JfT_7TR_tqA
2021;;;;;1,23;0,68;1JfT_7TR_tqA
2022;;;;1,35;1,28;0,65;1JfT_7TR_tqA
2023;;;;;1,32;0,65;1JfT_7TR_tqA
2024;;;;;1,36;0,68;1JfT_7TR_tqA
2025;;;;;1,39;0,71;1JfT_7TR_tqA
2026;;;;1,38;1,42;0,77;1JfT_7TR_tqA
2015;1,00;1,00;1,00;;;;1Uj2_6JM_zuz
2016;1,24;1,44;1,02;;;;1Uj2_6JM_zuz
2017;1,26;1,52;1,03;;;;1Uj2_6JM_zuz
2018;1,29;2,17;1,04;;;2,17;1Uj2_6JM_zuz
2019;1,28;;1,02;1,28;1,02;1,24;1Uj2_6JM_zuz
2020;;;;;1,03;1,33;1Uj2_6JM_zuz
2021;;;;;1,05;1,42;1Uj2_6JM_zuz
2022;;;;1,43;1,06;1,50;1Uj2_6JM_zuz
2023;;;;;1,07;1,59;1Uj2_6JM_zuz
2024;;;;;1,08;1,68;1Uj2_6JM_zuz
2025;;;;;1,10;1,80;1Uj2_6JM_zuz
2026;;;;1,70;1,11;1,90;1Uj2_6JM_zuz
2015;1,00;1,00;1,00;;;;1Y5U_iZ4_Bo9
2016;1,14;1,41;1,02;;;;1Y5U_iZ4_Bo9
2017;1,21;1,44;1,03;;;;1Y5U_iZ4_Bo9
2018;1,18;1,91;1,03;;;1,91;1Y5U_iZ4_Bo9
2019;1,11;;1,00;1,11;1,00;1,00;1Y5U_iZ4_Bo9
2020;;;;;1,00;1,13;1Y5U_iZ4_Bo9
2021;;;;;1,00;1,22;1Y5U_iZ4_Bo9
2022;;;;1,22;1,00;1,26;1Y5U_iZ4_Bo9
2023;;;;;1,01;1,30;1Y5U_iZ4_Bo9
2024;;;;;1,01;1,37;1Y5U_iZ4_Bo9
2025;;;;;1,02;1,41;1Y5U_iZ4_Bo9
2026;;;;1,24;1,03;1,46;1Y5U_iZ4_Bo9
2015;1,00;1,00;1,00;;;;1fWd_GB6_UgS
2016;1,10;0,91;1,02;;;;1fWd_GB6_UgS
2017;1,03;0,73;1,04;;;;1fWd_GB6_UgS
2018;1,03;0,81;1,06;;;0,81;1fWd_GB6_UgS
2019;1,04;;1,05;1,04;1,05;0,47;1fWd_GB6_UgS
2020;;;;;1,06;0,45;1fWd_GB6_UgS
2021;;;;;1,06;0,43;1fWd_GB6_UgS
2022;;;;0,98;1,07;0,42;1fWd_GB6_UgS
2023;;;;;1,08;0,41;1fWd_GB6_UgS
2024;;;;;1,08;0,41;1fWd_GB6_UgS
2025;;;;;1,09;0,41;1fWd_GB6_UgS
2026;;;;1,05;1,10;0,41;1fWd_GB6_UgS
2015;1,00;1,00;1,00;;;;1zh5_cyL_wwJ
2016;1,24;1,28;1,02;;;;1zh5_cyL_wwJ
2017;1,27;1,27;1,04;;;;1zh5_cyL_wwJ
2018;1,29;1,39;1,04;;;1,39;1zh5_cyL_wwJ
2019;1,33;;1,01;1,33;1,01;1,00;1zh5_cyL_wwJ
2020;;;;;1,03;1,00;1zh5_cyL_wwJ
2021;;;;;1,05;1,04;1zh5_cyL_wwJ
2022;;;;1,37;1,07;1,07;1zh5_cyL_wwJ
2023;;;;;1,09;1,09;1zh5_cyL_wwJ
2024;;;;;1,10;1,10;1zh5_cyL_wwJ
2025;;;;;1,12;1,14;1zh5_cyL_wwJ
2026;;;;1,40;1,14;1,20;1zh5_cyL_wwJ
2015;1,00;1,00;1,00;;;;2DdQ_2sz_TeW
2016;1,45;1,18;1,03;;;;2DdQ_2sz_TeW
2017;1,35;1,29;1,05;;;;2DdQ_2sz_TeW
2018;1,43;1,68;1,08;;;1,68;2DdQ_2sz_TeW
2019;1,51;;1,08;1,51;1,08;0,92;2DdQ_2sz_TeW
2020;;;;;1,10;0,94;2DdQ_2sz_TeW
2021;;;;;1,12;0,97;2DdQ_2sz_TeW
2022;;;;1,49;1,14;1,02;2DdQ_2sz_TeW
2023;;;;;1,16;1,08;2DdQ_2sz_TeW
2024;;;;;1,17;1,15;2DdQ_2sz_TeW
2025;;;;;1,19;1,24;2DdQ_2sz_TeW
2026;;;;1,46;1,20;1,33;2DdQ_2sz_TeW
2015;1,00;1,00;1,00;;;;2aQM_AW3_d9N
2016;1,30;1,32;1,02;;;;2aQM_AW3_d9N
2017;1,34;1,42;1,04;;;;2aQM_AW3_d9N
2018;1,44;1,78;1,03;;;1,78;2aQM_AW3_d9N
2019;1,46;;0,98;1,46;0,98;1,26;2aQM_AW3_d9N
2020;;;;;1,00;1,27;2aQM_AW3_d9N
2021;;;;;1,02;1,28;2aQM_AW3_d9N
2022;;;;1,43;1,04;1,30;2aQM_AW3_d9N
2023;;;;;1,06;1,32;2aQM_AW3_d9N
2024;;;;;1,08;1,35;2aQM_AW3_d9N
2025;;;;;1,10;1,39;2aQM_AW3_d9N
2026;;;;1,41;1,12;1,45;2aQM_AW3_d9N
2015;1,00;1,00;1,00;;;;3516_Frj_pxt
2016;1,16;1,01;1,03;;;;3516_Frj_pxt
2017;0,97;0,98;1,05;;;;3516_Frj_pxt
2018;0,83;1,06;1,08;;;1,06;3516_Frj_pxt
2019;0,88;;1,07;0,88;1,07;0,51;3516_Frj_pxt
2020;;;;;1,09;0,51;3516_Frj_pxt
2021;;;;;1,12;0,48;3516_Frj_pxt
2022;;;;0,91;1,14;0,46;3516_Frj_pxt
2023;;;;;1,17;0,44;3516_Frj_pxt
2024;;;;;1,19;0,43;3516_Frj_pxt
2025;;;;;1,20;0,42;3516_Frj_pxt
2026;;;;0,95;1,22;0,42;3516_Frj_pxt
2015;1,00;1,00;1,00;;;;3T3n_grg_tFd
2016;1,09;1,28;1,04;;;;3T3n_grg_tFd
2017;1,10;1,57;1,07;;;;3T3n_grg_tFd
2018;1,10;1,74;1,10;;;1,74;3T3n_grg_tFd
2019;1,10;;1,11;1,10;1,11;1,16;3T3n_grg_tFd
2020;;;;;1,18;1,00;3T3n_grg_tFd
2021;;;;;1,25;0,89;3T3n_grg_tFd
2022;;;;1,13;1,31;0,79;3T3n_grg_tFd
2023;;;;;1,37;0,74;3T3n_grg_tFd
2024;;;;;1,42;0,71;3T3n_grg_tFd
2025;;;;;1,48;0,70;3T3n_grg_tFd
2026;;;;1,16;1,53;0,68;3T3n_grg_tFd
2015;1,00;1,00;1,00;;;;3iVM_3Fr_nKf
2016;1,12;1,15;1,01;;;;3iVM_3Fr_nKf
2017;1,27;1,02;1,02;;;;3iVM_3Fr_nKf
2018;1,16;1,32;1,03;;;1,32;3iVM_3Fr_nKf
2019;1,17;;1,01;1,17;1,01;0,73;3iVM_3Fr_nKf
2020;;;;;1,03;0,72;3iVM_3Fr_nKf
2021;;;;;1,04;0,73;3iVM_3Fr_nKf
2022;;;;1,24;1,06;0,73;3iVM_3Fr_nKf
2023;;;;;1,07;0,74;3iVM_3Fr_nKf
2024;;;;;1,08;0,76;3iVM_3Fr_nKf
2025;;;;;1,09;0,78;3iVM_3Fr_nKf
2026;;;;1,38;1,11;0,81;3iVM_3Fr_nKf
2015;1,00;1,00;1,00;;;;4AC5_wqW_4Wa
2016;1,31;1,26;1,03;;;;4AC5_wqW_4Wa
2017;1,47;1,45;1,05;;;;4AC5_wqW_4Wa
2018;2,28;2,84;1,08;;;2,84;4AC5_wqW_4Wa
2019;2,39;;1,08;2,39;1,08;2,28;4AC5_wqW_4Wa
2020;;;;;1,10;2,18;4AC5_wqW_4Wa
2021;;;;;1,11;2,12;4AC5_wqW_4Wa
2022;;;;2,46;1,13;2,07;4AC5_wqW_4Wa
2023;;;;;1,14;2,05;4AC5_wqW_4Wa
2024;;;;;1,15;2,06;4AC5_wqW_4Wa
2025;;;;;1,17;2,10;4AC5_wqW_4Wa
2026;;;;2,56;1,18;2,16;4AC5_wqW_4Wa
2015;1,00;1,00;1,00;;;;4DTy_LSo_rCN
2016;1,30;1,30;1,04;;;;4DTy_LSo_rCN
2017;1,61;1,30;1,08;;;;4DTy_LSo_rCN
2018;1,74;1,61;1,13;;;1,61;4DTy_LSo_rCN
2019;1,79;;1,15;1,79;1,15;1,25;4DTy_LSo_rCN
2020;;;;;1,20;1,26;4DTy_LSo_rCN
2021;;;;;1,25;1,38;4DTy_LSo_rCN
2022;;;;2,33;1,29;1,49;4DTy_LSo_rCN
2023;;;;;1,32;1,52;4DTy_LSo_rCN
2024;;;;;1,35;1,69;4DTy_LSo_rCN
2025;;;;;1,38;1,77;4DTy_LSo_rCN
2026;;;;3,08;1,40;1,86;4DTy_LSo_rCN
2015;1,00;1,00;1,00;;;;4bxB_tig_Z7j
2016;1,25;1,21;1,03;;;;4bxB_tig_Z7j
2017;1,37;1,22;1,06;;;;4bxB_tig_Z7j
2018;1,51;1,56;1,09;;;1,56;4bxB_tig_Z7j
2019;1,53;;1,10;1,53;1,10;0,99;4bxB_tig_Z7j
2020;;;;;1,12;1,05;4bxB_tig_Z7j
2021;;;;;1,14;1,11;4bxB_tig_Z7j
2022;;;;1,58;1,16;1,18;4bxB_tig_Z7j
2023;;;;;1,18;1,25;4bxB_tig_Z7j
2024;;;;;1,20;1,33;4bxB_tig_Z7j
2025;;;;;1,21;1,42;4bxB_tig_Z7j
2026;;;;1,64;1,22;1,53;4bxB_tig_Z7j
2015;1,00;1,00;1,00;;;;5P83_U4c_PyQ
2016;1,20;1,66;1,02;;;;5P83_U4c_PyQ
2017;1,27;2,10;1,03;;;;5P83_U4c_PyQ
2018;1,35;2,50;1,03;;;2,50;5P83_U4c_PyQ
2019;1,38;;0,99;1,38;0,99;1,69;5P83_U4c_PyQ
2020;;;;;0,99;1,78;5P83_U4c_PyQ
2021;;;;;1,00;1,88;5P83_U4c_PyQ
2022;;;;1,39;1,01;1,95;5P83_U4c_PyQ
2023;;;;;1,01;2,00;5P83_U4c_PyQ
2024;;;;;1,02;2,07;5P83_U4c_PyQ
2025;;;;;1,03;2,16;5P83_U4c_PyQ
2026;;;;1,51;1,04;2,27;5P83_U4c_PyQ
2015;1,00;1,00;1,00;;;;5fat_b9d_Gmi
2016;1,40;1,34;1,04;;;;5fat_b9d_Gmi
2017;1,45;1,53;1,07;;;;5fat_b9d_Gmi
2018;1,58;1,94;1,10;;;1,94;5fat_b9d_Gmi
2019;1,40;;1,11;1,40;1,11;1,22;5fat_b9d_Gmi
2020;;;;;1,17;1,02;5fat_b9d_Gmi
2021;;;;;1,22;0,87;5fat_b9d_Gmi
2022;;;;1,43;1,27;0,76;5fat_b9d_Gmi
2023;;;;;1,32;0,70;5fat_b9d_Gmi
2024;;;;;1,36;0,67;5fat_b9d_Gmi
2025;;;;;1,41;0,64;5fat_b9d_Gmi
2026;;;;1,47;1,45;0,63;5fat_b9d_Gmi
2015;1,00;1,00;1,00;;;;5wtR_Ebt_jjM
2016;1,18;1,18;1,03;;;;5wtR_Ebt_jjM
2017;1,24;1,20;1,03;;;;5wtR_Ebt_jjM
2018;1,30;1,38;1,03;;;1,38;5wtR_Ebt_jjM
2019;1,28;;0,98;1,28;0,98;1,14;5wtR_Ebt_jjM
2020;;;;;0,98;1,16;5wtR_Ebt_jjM
2021;;;;;0,98;1,16;5wtR_Ebt_jjM
2022;;;;1,31;0,99;1,13;5wtR_Ebt_jjM
2023;;;;;0,99;1,12;5wtR_Ebt_jjM
2024;;;;;0,99;1,10;5wtR_Ebt_jjM
2025;;;;;1,00;1,07;5wtR_Ebt_jjM
2026;;;;1,33;1,00;1,03;5wtR_Ebt_jjM
2015;1,00;1,00;1,00;;;;6Yud_68H_9BQ
2016;1,20;1,75;1,02;;;;6Yud_68H_9BQ
2017;1,31;1,85;1,04;;;;6Yud_68H_9BQ
2018;1,41;1,78;1,06;;;1,78;6Yud_68H_9BQ
2019;1,46;;1,04;1,46;1,04;1,35;6Yud_68H_9BQ
2020;;;;;1,05;1,30;6Yud_68H_9BQ
2021;;;;;1,07;1,27;6Yud_68H_9BQ
2022;;;;1,46;1,08;1,26;6Yud_68H_9BQ
2023;;;;;1,08;1,25;6Yud_68H_9BQ
2024;;;;;1,09;1,22;6Yud_68H_9BQ
2025;;;;;1,10;1,20;6Yud_68H_9BQ
2026;;;;1,46;1,11;1,21;6Yud_68H_9BQ
2015;1,00;1,00;1,00;;;;77yo_xQ5_1ML
2016;1,13;1,27;1,04;;;;77yo_xQ5_1ML
2017;1,16;1,15;1,07;;;;77yo_xQ5_1ML
2018;1,16;1,70;1,10;;;1,70;77yo_xQ5_1ML
2019;1,20;;1,11;1,20;1,11;0,80;77yo_xQ5_1ML
2020;;;;;1,14;0,82;77yo_xQ5_1ML
2021;;;;;1,16;0,81;77yo_xQ5_1ML
2022;;;;1,13;1,18;0,81;77yo_xQ5_1ML
2023;;;;;1,20;0,81;77yo_xQ5_1ML
2024;;;;;1,22;0,81;77yo_xQ5_1ML
2025;;;;;1,24;0,79;77yo_xQ5_1ML
2026;;;;1,21;1,25;0,78;77yo_xQ5_1ML
2015;1,00;1,00;1,00;;;;7fRX_dK8_Wzy
2016;1,28;2,46;1,02;;;;7fRX_dK8_Wzy
2017;1,29;3,31;1,04;;;;7fRX_dK8_Wzy
2018;1,31;2,77;1,06;;;2,77;7fRX_dK8_Wzy
2019;1,29;;1,04;1,29;1,04;1,79;7fRX_dK8_Wzy
2020;;;;;1,04;1,91;7fRX_dK8_Wzy
2021;;;;;1,05;1,95;7fRX_dK8_Wzy
2022;;;;1,37;1,05;2,16;7fRX_dK8_Wzy
2023;;;;;1,05;2,19;7fRX_dK8_Wzy
2024;;;;;1,06;2,42;7fRX_dK8_Wzy
2025;;;;;1,06;2,53;7fRX_dK8_Wzy
2026;;;;1,48;1,06;2,69;7fRX_dK8_Wzy
2015;1,00;1,00;1,00;;;;7uaQ_G64_QWN
2016;1,14;1,17;1,04;;;;7uaQ_G64_QWN
2017;1,14;1,29;1,06;;;;7uaQ_G64_QWN
2018;1,15;1,84;1,09;;;1,84;7uaQ_G64_QWN
2019;1,16;;1,10;1,16;1,10;0,93;7uaQ_G64_QWN
2020;;;;;1,17;0,97;7uaQ_G64_QWN
2021;;;;;1,24;0,99;7uaQ_G64_QWN
2022;;;;1,19;1,30;0,99;7uaQ_G64_QWN
2023;;;;;1,36;0,99;7uaQ_G64_QWN
2024;;;;;1,42;0,99;7uaQ_G64_QWN
2025;;;;;1,47;1,00;7uaQ_G64_QWN
2026;;;;1,22;1,52;1,04;7uaQ_G64_QWN
2015;1,00;1,00;1,00;;;;8YxF_HQj_qsT
2016;1,14;1,66;1,04;;;;8YxF_HQj_qsT
2017;1,17;1,87;1,07;;;;8YxF_HQj_qsT
2018;1,19;2,26;1,11;;;2,26;8YxF_HQj_qsT
2019;1,22;;1,13;1,22;1,13;1,67;8YxF_HQj_qsT
2020;;;;;1,17;1,40;8YxF_HQj_qsT
2021;;;;;1,22;1,20;8YxF_HQj_qsT
2022;;;;1,25;1,26;1,03;8YxF_HQj_qsT
2023;;;;;1,29;0,93;8YxF_HQj_qsT
2024;;;;;1,33;0,84;8YxF_HQj_qsT
2025;;;;;1,36;0,78;8YxF_HQj_qsT
2026;;;;1,28;1,39;0,74;8YxF_HQj_qsT
2015;1,00;1,00;1,00;;;;8cNH_Yrn_Eqs
2016;1,23;1,27;1,00;;;;8cNH_Yrn_Eqs
2017;1,24;1,28;1,01;;;;8cNH_Yrn_Eqs
2018;1,26;1,72;1,00;;;1,72;8cNH_Yrn_Eqs
2019;1,20;;0,97;1,20;0,97;1,00;8cNH_Yrn_Eqs
2020;;;;;0,97;1,05;8cNH_Yrn_Eqs
2021;;;;;0,97;1,07;8cNH_Yrn_Eqs
2022;;;;1,23;0,97;1,10;8cNH_Yrn_Eqs
2023;;;;;0,97;1,11;8cNH_Yrn_Eqs
2024;;;;;0,97;1,13;8cNH_Yrn_Eqs
2025;;;;;0,97;1,15;8cNH_Yrn_Eqs
2026;;;;1,21;0,97;1,20;8cNH_Yrn_Eqs
2015;1,00;1,00;1,00;;;;93PW_DJa_ZSr
2016;1,23;1,23;1,01;;;;93PW_DJa_ZSr
2017;1,27;1,33;1,01;;;;93PW_DJa_ZSr
2018;1,20;1,54;1,02;;;1,54;93PW_DJa_ZSr
2019;1,24;;0,99;1,24;0,99;1,09;93PW_DJa_ZSr
2020;;;;;0,99;1,03;93PW_DJa_ZSr
2021;;;;;0,99;1,01;93PW_DJa_ZSr
2022;;;;1,29;1,00;0,99;93PW_DJa_ZSr
2023;;;;;1,00;0,95;93PW_DJa_ZSr
2024;;;;;1,00;0,94;93PW_DJa_ZSr
2025;;;;;1,00;0,90;93PW_DJa_ZSr
2026;;;;1,39;1,01;0,88;93PW_DJa_ZSr
2015;1,00;1,00;1,00;;;;BC2c_cAZ_KHp
2016;1,15;1,19;1,01;;;;BC2c_cAZ_KHp
2017;1,21;1,32;1,03;;;;BC2c_cAZ_KHp
2018;1,27;1,60;1,04;;;1,60;BC2c_cAZ_KHp
2019;1,31;;1,02;1,31;1,02;1,06;BC2c_cAZ_KHp
2020;;;;;1,02;1,07;BC2c_cAZ_KHp
2021;;;;;1,02;1,12;BC2c_cAZ_KHp
2022;;;;0,15;1,03;1,14;BC2c_cAZ_KHp
2023;;;;;1,03;1,19;BC2c_cAZ_KHp
2024;;;;;1,03;1,24;BC2c_cAZ_KHp
2025;;;;;1,03;1,29;BC2c_cAZ_KHp
2026;;;;1,60;1,04;1,33;BC2c_cAZ_KHp
2015;1,00;1,00;1,00;;;;BWyW_6yS_mHp
2016;1,15;1,11;1,00;;;;BWyW_6yS_mHp
2017;1,19;1,11;1,00;;;;BWyW_6yS_mHp
2018;1,16;1,61;1,01;;;1,61;BWyW_6yS_mHp
2019;1,10;;0,99;1,10;0,99;0,91;BWyW_6yS_mHp
2020;;;;;1,00;0,95;BWyW_6yS_mHp
2021;;;;;1,02;0,99;BWyW_6yS_mHp
2022;;;;1,29;1,03;1,03;BWyW_6yS_mHp
2023;;;;;1,04;1,07;BWyW_6yS_mHp
2024;;;;;1,05;1,11;BWyW_6yS_mHp
2025;;;;;1,06;1,15;BWyW_6yS_mHp
2026;;;;1,50;1,07;1,21;BWyW_6yS_mHp
2015;1,00;1,00;1,00;;;;CTTH_kFs_t92
2016;1,30;1,07;1,02;;;;CTTH_kFs_t92
2017;1,42;0,99;1,04;;;;CTTH_kFs_t92
2018;1,43;1,24;1,05;;;1,24;CTTH_kFs_t92
2019;1,40;;1,02;1,40;1,02;0,80;CTTH_kFs_t92
2020;;;;;1,03;0,75;CTTH_kFs_t92
2021;;;;;1,03;0,73;CTTH_kFs_t92
2022;;;;1,49;1,03;0,72;CTTH_kFs_t92
2023;;;;;1,04;0,72;CTTH_kFs_t92
2024;;;;;1,04;0,74;CTTH_kFs_t92
2025;;;;;1,05;0,77;CTTH_kFs_t92
2026;;;;1,61;1,05;0,79;CTTH_kFs_t92
2015;1,00;1,00;1,00;;;;Cgyo_q4d_zmG
2016;1,30;1,29;1,01;;;;Cgyo_q4d_zmG
2017;1,31;1,49;1,02;;;;Cgyo_q4d_zmG
2018;1,34;1,74;1,03;;;1,74;Cgyo_q4d_zmG
2019;1,30;;1,02;1,30;1,02;1,43;Cgyo_q4d_zmG
2020;;;;;1,02;1,22;Cgyo_q4d_zmG
2021;;;;;1,02;1,10;Cgyo_q4d_zmG
2022;;;;1,19;1,02;1,01;Cgyo_q4d_zmG
2023;;;;;1,02;0,95;Cgyo_q4d_zmG
2024;;;;;1,02;0,90;Cgyo_q4d_zmG
2025;;;;;1,03;0,86;Cgyo_q4d_zmG
2026;;;;1,35;1,03;0,83;Cgyo_q4d_zmG
2015;1,00;1,00;1,00;;;;CyyJ_HR6_TUs
2016;1,23;1,13;1,02;;;;CyyJ_HR6_TUs
2017;1,30;1,24;1,04;;;;CyyJ_HR6_TUs
2018;1,35;1,50;1,04;;;1,50;CyyJ_HR6_TUs
2019;1,35;;1,03;1,35;1,03;1,01;CyyJ_HR6_TUs
2020;;;;;1,04;1,06;CyyJ_HR6_TUs
2021;;;;;1,05;1,12;CyyJ_HR6_TUs
2022;;;;1,26;1,05;1,17;CyyJ_HR6_TUs
2023;;;;;1,06;1,21;CyyJ_HR6_TUs
2024;;;;;1,07;1,25;CyyJ_HR6_TUs
2025;;;;;1,08;1,30;CyyJ_HR6_TUs
2026;;;;1,37;1,09;1,33;CyyJ_HR6_TUs
2015;1,00;1,00;1,00;;;;DSZ8_GiW_dVy
2016;1,15;1,23;1,01;;;;DSZ8_GiW_dVy
2017;1,06;1,29;1,02;;;;DSZ8_GiW_dVy
2018;1,22;1,56;1,04;;;1,56;DSZ8_GiW_dVy
2019;1,36;;1,03;1,36;1,03;1,06;DSZ8_GiW_dVy
2020;;;;;1,05;1,09;DSZ8_GiW_dVy
2021;;;;;1,08;1,13;DSZ8_GiW_dVy
2022;;;;1,44;1,10;1,17;DSZ8_GiW_dVy
2023;;;;;1,11;1,21;DSZ8_GiW_dVy
2024;;;;;1,13;1,25;DSZ8_GiW_dVy
2025;;;;;1,15;1,28;DSZ8_GiW_dVy
2026;;;;1,60;1,16;1,32;DSZ8_GiW_dVy
2015;1,00;1,00;1,00;;;;DSsb_UXC_Vwe
2016;1,09;1,38;1,04;;;;DSsb_UXC_Vwe
2017;1,04;1,47;1,07;;;;DSsb_UXC_Vwe
2018;1,03;1,54;1,09;;;1,54;DSsb_UXC_Vwe
2019;1,03;;1,09;1,03;1,09;1,04;DSsb_UXC_Vwe
2020;;;;;1,18;0,91;DSsb_UXC_Vwe
2021;;;;;1,25;0,81;DSsb_UXC_Vwe
2022;;;;1,06;1,32;0,74;DSsb_UXC_Vwe
2023;;;;;1,38;0,68;DSsb_UXC_Vwe
2024;;;;;1,44;0,65;DSsb_UXC_Vwe
2025;;;;;1,50;0,62;DSsb_UXC_Vwe
2026;;;;1,09;1,55;0,60;DSsb_UXC_Vwe
2015;1,00;1,00;1,00;;;;DVKZ_GV9_rho
2016;1,00;1,00;1,04;;;;DVKZ_GV9_rho
2017;0,90;0,87;1,07;;;;DVKZ_GV9_rho
2018;0,91;0,91;1,09;;;0,91;DVKZ_GV9_rho
2019;0,78;;1,09;0,78;1,09;0,37;DVKZ_GV9_rho
2020;;;;;1,15;0,42;DVKZ_GV9_rho
2021;;;;;1,21;0,43;DVKZ_GV9_rho
2022;;;;0,80;1,25;0,45;DVKZ_GV9_rho
2023;;;;;1,30;0,45;DVKZ_GV9_rho
2024;;;;;1,33;0,44;DVKZ_GV9_rho
2025;;;;;1,37;0,43;DVKZ_GV9_rho
2026;;;;0,83;1,40;0,43;DVKZ_GV9_rho
2015;1,00;1,00;1,00;;;;DdRN_T3x_MBg
2016;1,43;1,47;1,02;;;;DdRN_T3x_MBg
2017;1,72;1,74;1,04;;;;DdRN_T3x_MBg
2018;1,79;2,20;1,04;;;2,20;DdRN_T3x_MBg
2019;1,82;;1,00;1,82;1,00;1,60;DdRN_T3x_MBg
2020;;;;;1,01;1,64;DdRN_T3x_MBg
2021;;;;;1,03;1,69;DdRN_T3x_MBg
2022;;;;1,78;1,04;1,72;DdRN_T3x_MBg
2023;;;;;1,05;1,76;DdRN_T3x_MBg
2024;;;;;1,07;1,80;DdRN_T3x_MBg
2025;;;;;1,08;1,83;DdRN_T3x_MBg
2026;;;;1,76;1,10;1,89;DdRN_T3x_MBg
2015;1,00;1,00;1,00;;;;DoEj_A7C_hG4
2016;1,17;1,12;1,01;;;;DoEj_A7C_hG4
2017;1,16;0,93;1,01;;;;DoEj_A7C_hG4
2018;1,19;1,17;1,01;;;1,17;DoEj_A7C_hG4
2019;1,06;;0,98;1,06;0,98;0,69;DoEj_A7C_hG4
2020;;;;;0,98;0,66;DoEj_A7C_hG4
2021;;;;;0,98;0,65;DoEj_A7C_hG4
2022;;;;1,10;0,98;0,63;DoEj_A7C_hG4
2023;;;;;0,99;0,63;DoEj_A7C_hG4
2024;;;;;0,99;0,63;DoEj_A7C_hG4
2025;;;;;0,99;0,63;DoEj_A7C_hG4
2026;;;;1,19;1,00;0,65;DoEj_A7C_hG4
2015;1,00;1,00;1,00;;;;DrhD_263_rSc
2016;1,26;1,23;1,02;;;;DrhD_263_rSc
2017;1,30;1,36;1,03;;;;DrhD_263_rSc
2018;1,32;1,68;1,04;;;1,68;DrhD_263_rSc
2019;1,35;;1,02;1,35;1,02;1,18;DrhD_263_rSc
2020;;;;;1,04;1,10;DrhD_263_rSc
2021;;;;;1,05;1,05;DrhD_263_rSc
2022;;;;1,40;1,07;1,02;DrhD_263_rSc
2023;;;;;1,08;1,01;DrhD_263_rSc
2024;;;;;1,10;1,00;DrhD_263_rSc
2025;;;;;1,12;0,99;DrhD_263_rSc
2026;;;;1,43;1,13;0,99;DrhD_263_rSc
2015;1,00;1,00;1,00;;;;E3mo_LoH_JaN
2016;1,15;1,34;1,02;;;;E3mo_LoH_JaN
2017;1,21;1,17;1,04;;;;E3mo_LoH_JaN
2018;1,27;1,30;1,06;;;1,30;E3mo_LoH_JaN
2019;1,28;;1,06;1,28;1,06;0,84;E3mo_LoH_JaN
2020;;;;;1,04;0,89;E3mo_LoH_JaN
2021;;;;;1,07;0,90;E3mo_LoH_JaN
2022;;;;1,36;1,10;0,95;E3mo_LoH_JaN
2023;;;;;1,12;0,96;E3mo_LoH_JaN
2024;;;;;1,14;0,99;E3mo_LoH_JaN
2025;;;;;1,16;1,04;E3mo_LoH_JaN
2026;;;;1,53;1,18;1,10;E3mo_LoH_JaN
2015;1,00;1,00;1,00;;;;EB3a_Mx4_nUr
2016;0,99;1,12;1,01;;;;EB3a_Mx4_nUr
2017;0,96;1,02;1,02;;;;EB3a_Mx4_nUr
2018;1,06;1,47;1,03;;;1,47;EB3a_Mx4_nUr
2019;1,03;;1,00;1,03;1,00;0,77;EB3a_Mx4_nUr
2020;;;;;1,00;0,87;EB3a_Mx4_nUr
2021;;;;;1,00;0,95;EB3a_Mx4_nUr
2022;;;;1,05;1,01;1,02;EB3a_Mx4_nUr
2023;;;;;1,01;1,07;EB3a_Mx4_nUr
2024;;;;;1,02;1,13;EB3a_Mx4_nUr
2025;;;;;1,02;1,17;EB3a_Mx4_nUr
2026;;;;1,04;1,03;1,20;EB3a_Mx4_nUr
2015;1,00;1,00;1,00;;;;ES2d_RDA_JHj
2016;1,29;1,27;1,02;;;;ES2d_RDA_JHj
2017;1,44;1,58;1,03;;;;ES2d_RDA_JHj
2018;2,13;3,58;1,06;;;3,58;ES2d_RDA_JHj
2019;2,28;;1,07;2,28;1,07;2,49;ES2d_RDA_JHj
2020;;;;;1,09;2,68;ES2d_RDA_JHj
2021;;;;;1,10;2,87;ES2d_RDA_JHj
2022;;;;2,58;1,12;3,03;ES2d_RDA_JHj
2023;;;;;1,13;3,23;ES2d_RDA_JHj
2024;;;;;1,15;3,47;ES2d_RDA_JHj
2025;;;;;1,16;3,72;ES2d_RDA_JHj
2026;;;;3,08;1,17;3,96;ES2d_RDA_JHj
2015;1,00;1,00;1,00;;;;En1d_1Gi_bDt
2016;1,29;1,35;1,02;;;;En1d_1Gi_bDt
2017;1,38;1,48;1,04;;;;En1d_1Gi_bDt
2018;1,45;1,78;1,04;;;1,78;En1d_1Gi_bDt
2019;1,47;;1,02;1,47;1,02;1,14;En1d_1Gi_bDt
2020;;;;;1,03;1,19;En1d_1Gi_bDt
2021;;;;;1,03;1,21;En1d_1Gi_bDt
2022;;;;1,56;1,03;1,24;En1d_1Gi_bDt
